# armor-combos.txt
#
# Vagrant Story armor combination tables
#
# Lines beginning with "--" identify item types
#
# It is possible for a different combination to result from swapped items.
# For example usually A + B = C but sometimes B + A = D
#
# Taken from Combination Guide
# Author:  Jay Tilton
# Email:  tiltonj@erols.com
# Copyright Jay Tilton, 2000

--Helm + Helm
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Bandana            |Bandana            | Bandana            |
Poleyn             |Jambeau            |+Missaglia          |
Poleyn             |Missaglia          |+Plate Leggings     |
Poleyn             |Plate Leggings     | Poleyn             |
Poleyn             |Fluted Leggings    | Plate Leggings     |
Poleyn             |Hoplite Leggings   | Jambeau            |
Poleyn             |Jazeraint Leggings | Plate Leggings     |
Poleyn             |Dread Leggings     |-Light Greave       |
Jambeau            |Jambeau            | Jambeau            |
Jambeau            |Missaglia          |-Fusskampf          |
Jambeau            |Plate Leggings     | Missaglia          |
Jambeau            |Fluted Leggings    | Missaglia          |
Jambeau            |Hoplite Leggings   |-Fusskampf          |
Jambeau            |Jazeraint Leggings | Fluted Leggings    |
Jambeau            |Dread Leggings     |-Cuisse             |
Missaglia          |Missaglia          |+Plate Leggings     |
Missaglia          |Plate Leggings     |+Fluted Leggings    |
Missaglia          |Fluted Leggings    |-Jambeau            |
Missaglia          |Hoplite Leggings   | Fluted Leggings    |
Missaglia          |Jazeraint Leggings |-Ring Leggings      |
Missaglia          |Dread Leggings     | Plate Leggings     |
Plate Leggings     |Plate Leggings     | Plate Leggings     |
Plate Leggings     |Fluted Leggings    |+Hoplite Leggings   |
Plate Leggings     |Hoplite Leggings   |-Poleyn             |
Plate Leggings     |Jazeraint Leggings | Fluted Leggings    |
Plate Leggings     |Dread Leggings     |-Poleyn             |
Fluted Leggings    |Fluted Leggings    | Fluted Leggings    |
Fluted Leggings    |Hoplite Leggings   |-Missaglia          |
Fluted Leggings    |Jazeraint Leggings |-Jambeau            |
Fluted Leggings    |Dread Leggings     |-Plate Leggings     |
Hoplite Leggings   |Hoplite Leggings   |+Jazeraint Leggings |
Hoplite Leggings   |Jazeraint Leggings |-Cuisse             |
Hoplite Leggings   |Dread Leggings     |-Fluted Leggings    |
Jazeraint Leggings |Jazeraint Leggings |+Dread Leggings     |
Jazeraint Leggings |Dread Leggings     |-Jambeau            |
Dread Leggings     |Dread Leggings     | Dread Leggings     |

--Leg + Arm
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Sandals            |Bandage            | Sandals            |
Sandals            |Leather Glove      | Leather Glove      |
Sandals            |Reinforced Glove   | Reinforced Glove   |
Sandals            |Knuckles           | Knuckles           |
Sandals            |Ring Sleeve        | Knuckles           |
Sandals            |Chain Sleeve       | Knuckles           |
Sandals            |Gauntlet           | Knuckles           |
Sandals            |Vambrace           | Ring Sleeve        |
Sandals            |Plate Glove        | Chain Sleeve       |
Sandals            |Rondanche          | Gauntlet           |
Sandals            |Tilt Glove         | Vambrace           |
Sandals            |Freiturnier        | Plate Glove        |
Sandals            |Fluted Glove       | Rondanche          |
Sandals            |Hoplite Glove      | Tilt Glove         |
Sandals            |Jazeraint Glove    | Freiturnier        |
Sandals            |Dread Glove        | Fluted Glove       |
Boots              |Bandage            | Boots              |
Boots              |Leather Glove      | Boots              |
Boots              |Reinforced Glove   | Reinforced Glove   |
Boots              |Knuckles           | Knuckles           |
Boots              |Ring Sleeve        | Knuckles           |
Boots              |Chain Sleeve       | Knuckles           |
Boots              |Gauntlet           | Knuckles           |
Boots              |Vambrace           | Ring Sleeve        |
Boots              |Plate Glove        | Chain Sleeve       |
Boots              |Rondanche          | Gauntlet           |
Boots              |Tilt Glove         | Vambrace           |
Boots              |Freiturnier        | Plate Glove        |
Boots              |Fluted Glove       | Rondanche          |
Boots              |Hoplite Glove      | Tilt Glove         |
Boots              |Jazeraint Glove    | Freiturnier        |
Boots              |Dread Glove        | Fluted Glove       |
Long Boots         |Bandage            | Long Boots         |
Long Boots         |Leather Glove      | Long Boots         |
Long Boots         |Reinforced Glove   | Long Boots         |
Long Boots         |Knuckles           | Knuckles           |
Long Boots         |Ring Sleeve        | Knuckles           |
Long Boots         |Chain Sleeve       | Knuckles           |
Long Boots         |Gauntlet           | Knuckles           |
Long Boots         |Vambrace           | Ring Sleeve        |
Long Boots         |Plate Glove        | Chain Sleeve       |
Long Boots         |Rondanche          | Gauntlet           |
Long Boots         |Tilt Glove         | Vambrace           |
Long Boots         |Freiturnier        | Plate Glove        |
Long Boots         |Fluted Glove       | Rondanche          |
Long Boots         |Hoplite Glove      | Tilt Glove         |
Long Boots         |Jazeraint Glove    | Freiturnier        |
Long Boots         |Dread Glove        | Fluted Glove       |
Cuisse             |Bandage            | Cuisse             |
Cuisse             |Leather Glove      | Cuisse             |
Cuisse             |Reinforced Glove   | Cuisse             |
Cuisse             |Knuckles           | Bone Helm          |
Cuisse             |Ring Sleeve        | Knuckles           |
Cuisse             |Chain Sleeve       | Knuckles           |
Cuisse             |Gauntlet           | Knuckles           |
Cuisse             |Vambrace           | Ring Sleeve        |
Cuisse             |Plate Glove        | Chain Sleeve       |
Cuisse             |Rondanche          | Gauntlet           |
Cuisse             |Tilt Glove         | Vambrace           |
Cuisse             |Freiturnier        | Plate Glove        |
Cuisse             |Fluted Glove       | Rondanche          |
Cuisse             |Hoplite Glove      | Tilt Glove         |
Cuisse             |Jazeraint Glove    | Freiturnier        |
Cuisse             |Dread Glove        | Fluted Glove       |
Light Greave       |Bandage            | Cuisse             |
Light Greave       |Leather Glove      | Cuisse             |
Light Greave       |Reinforced Glove   | Cuisse             |
Light Greave       |Knuckles           | Cuisse             |
Light Greave       |Ring Sleeve        | Chain Coif         |
Light Greave       |Chain Sleeve       | Ring Sleeve        |
Light Greave       |Gauntlet           | Ring Sleeve        |
Light Greave       |Vambrace           | Ring Sleeve        |
Light Greave       |Plate Glove        | Ring Sleeve        |
Light Greave       |Rondanche          | Chain Sleeve       |
Light Greave       |Tilt Glove         | Gauntlet           |
Light Greave       |Freiturnier        | Vambrace           |
Light Greave       |Fluted Glove       | Plate Glove        |
Light Greave       |Hoplite Glove      | Rondanche          |
Light Greave       |Jazeraint Glove    | Tilt Glove         |
Light Greave       |Dread Glove        | Freiturnier        |
Ring Leggings      |Bandage            | Cuisse             |
Ring Leggings      |Leather Glove      | Cuisse             |
Ring Leggings      |Reinforced Glove   | Cuisse             |
Ring Leggings      |Knuckles           | Cuisse             |
Ring Leggings      |Ring Sleeve        | Light Greave       |
Ring Leggings      |Chain Sleeve       | Spangenhelm        |
Ring Leggings      |Gauntlet           | Chain Sleeve       |
Ring Leggings      |Vambrace           | Chain Sleeve       |
Ring Leggings      |Plate Glove        | Chain Sleeve       |
Ring Leggings      |Rondanche          | Chain Sleeve       |
Ring Leggings      |Tilt Glove         | Chain Sleeve       |
Ring Leggings      |Freiturnier        | Gauntlet           |
Ring Leggings      |Fluted Glove       | Vambrace           |
Ring Leggings      |Hoplite Glove      | Plate Glove        |
Ring Leggings      |Jazeraint Glove    | Rondanche          |
Ring Leggings      |Dread Glove        | Tilt Glove         |
Chain Leggings     |Bandage            | Cuisse             |
Chain Leggings     |Leather Glove      | Cuisse             |
Chain Leggings     |Reinforced Glove   | Cuisse             |
Chain Leggings     |Knuckles           | Cuisse             |
Chain Leggings     |Ring Sleeve        | Light Greave       |
Chain Leggings     |Chain Sleeve       | Ring Leggings      |
Chain Leggings     |Gauntlet           | Cabasset           |
Chain Leggings     |Vambrace           | Gauntlet           |
Chain Leggings     |Plate Glove        | Gauntlet           |
Chain Leggings     |Rondanche          | Gauntlet           |
Chain Leggings     |Tilt Glove         | Gauntlet           |
Chain Leggings     |Freiturnier        | Gauntlet           |
Chain Leggings     |Fluted Glove       | Gauntlet           |
Chain Leggings     |Hoplite Glove      | Vambrace           |
Chain Leggings     |Jazeraint Glove    | Plate Glove        |
Chain Leggings     |Dread Glove        | Rondanche          |
Fusskampf          |Bandage            | Light Greave       |
Fusskampf          |Leather Glove      | Light Greave       |
Fusskampf          |Reinforced Glove   | Light Greave       |
Fusskampf          |Knuckles           | Light Greave       |
Fusskampf          |Ring Sleeve        | Light Greave       |
Fusskampf          |Chain Sleeve       | Ring Leggings      |
Fusskampf          |Gauntlet           | Chain Leggings     |
Fusskampf          |Vambrace           | Sallet             |
Fusskampf          |Plate Glove        | Vambrace           |
Fusskampf          |Rondanche          | Vambrace           |
Fusskampf          |Tilt Glove         | Vambrace           |
Fusskampf          |Freiturnier        | Vambrace           |
Fusskampf          |Fluted Glove       | Vambrace           |
Fusskampf          |Hoplite Glove      | Vambrace           |
Fusskampf          |Jazeraint Glove    | Vambrace           |
Fusskampf          |Dread Glove        | Plate Glove        |
Poleyn             |Bandage            | Ring Leggings      |
Poleyn             |Leather Glove      | Ring Leggings      |
Poleyn             |Reinforced Glove   | Ring Leggings      |
Poleyn             |Knuckles           | Ring Leggings      |
Poleyn             |Ring Sleeve        | Light Greave       |
Poleyn             |Chain Sleeve       | Ring Leggings      |
Poleyn             |Gauntlet           | Chain Leggings     |
Poleyn             |Vambrace           | Fusskampf          |
Poleyn             |Plate Glove        | Barbut             |
Poleyn             |Rondanche          | Plate Glove        |
Poleyn             |Tilt Glove         | Plate Glove        |
Poleyn             |Freiturnier        | Plate Glove        |
Poleyn             |Fluted Glove       | Plate Glove        |
Poleyn             |Hoplite Glove      | Plate Glove        |
Poleyn             |Jazeraint Glove    | Plate Glove        |
Poleyn             |Dread Glove        | Plate Glove        |
Jambeau            |Bandage            | Chain Leggings     |
Jambeau            |Leather Glove      | Chain Leggings     |
Jambeau            |Reinforced Glove   | Chain Leggings     |
Jambeau            |Knuckles           | Chain Leggings     |
Jambeau            |Ring Sleeve        | Ring Leggings      |
Jambeau            |Chain Sleeve       | Ring Leggings      |
Jambeau            |Gauntlet           | Chain Leggings     |
Jambeau            |Vambrace           | Fusskampf          |
Jambeau            |Plate Glove        | Poleyn             |
Jambeau            |Rondanche          | Basinet            |
Jambeau            |Tilt Glove         | Rondanche          |
Jambeau            |Freiturnier        | Rondanche          |
Jambeau            |Fluted Glove       | Rondanche          |
Jambeau            |Hoplite Glove      | Rondanche          |
Jambeau            |Jazeraint Glove    | Rondanche          |
Jambeau            |Dread Glove        | Rondanche          |
Missaglia          |Bandage            | Fusskampf          |
Missaglia          |Leather Glove      | Fusskampf          |
Missaglia          |Reinforced Glove   | Fusskampf          |
Missaglia          |Knuckles           | Fusskampf          |
Missaglia          |Ring Sleeve        | Chain Leggings     |
Missaglia          |Chain Sleeve       | Ring Leggings      |
Missaglia          |Gauntlet           | Chain Leggings     |
Missaglia          |Vambrace           | Fusskampf          |
Missaglia          |Plate Glove        | Poleyn             |
Missaglia          |Rondanche          | Jambeau            |
Missaglia          |Tilt Glove         | Armet              |
Missaglia          |Freiturnier        | Tilt Glove         |
Missaglia          |Fluted Glove       | Tilt Glove         |
Missaglia          |Hoplite Glove      | Tilt Glove         |
Missaglia          |Jazeraint Glove    | Tilt Glove         |
Missaglia          |Dread Glove        | Tilt Glove         |
Plate Leggings     |Bandage            | Poleyn             |
Plate Leggings     |Leather Glove      | Poleyn             |
Plate Leggings     |Reinforced Glove   | Poleyn             |
Plate Leggings     |Knuckles           | Poleyn             |
Plate Leggings     |Ring Sleeve        | Fusskampf          |
Plate Leggings     |Chain Sleeve       | Ring Leggings      | Chain Leggings
Plate Leggings     |Gauntlet           | Chain Leggings     |
Plate Leggings     |Vambrace           | Fusskampf          |
Plate Leggings     |Plate Glove        | Poleyn             |
Plate Leggings     |Rondanche          | Jambeau            |
Plate Leggings     |Tilt Glove         | Missaglia          |
Plate Leggings     |Freiturnier        | Close Helm         |
Plate Leggings     |Fluted Glove       | Freiturnier        |
Plate Leggings     |Hoplite Glove      | Freiturnier        |
Plate Leggings     |Jazeraint Glove    | Freiturnier        |
Plate Leggings     |Dread Glove        | Freiturnier        |
Fluted Leggings    |Bandage            | Jambeau            |
Fluted Leggings    |Leather Glove      | Jambeau            |
Fluted Leggings    |Reinforced Glove   | Jambeau            |
Fluted Leggings    |Knuckles           | Jambeau            |
Fluted Leggings    |Ring Sleeve        | Poleyn             |
Fluted Leggings    |Chain Sleeve       | Fusskampf          |
Fluted Leggings    |Gauntlet           | Chain Leggings     |
Fluted Leggings    |Vambrace           | Fusskampf          |
Fluted Leggings    |Plate Glove        | Poleyn             |
Fluted Leggings    |Rondanche          | Jambeau            |
Fluted Leggings    |Tilt Glove         | Missaglia          |
Fluted Leggings    |Freiturnier        | Plate Leggings     |
Fluted Leggings    |Fluted Glove       | Burgonet           |
Fluted Leggings    |Hoplite Glove      | Fluted Glove       |
Fluted Leggings    |Jazeraint Glove    | Fluted Glove       |
Fluted Leggings    |Dread Glove        | Fluted Glove       |
Hoplite Leggings   |Bandage            | Missaglia          |
Hoplite Leggings   |Leather Glove      | Missaglia          |
Hoplite Leggings   |Reinforced Glove   | Missaglia          |
Hoplite Leggings   |Knuckles           | Missaglia          |
Hoplite Leggings   |Ring Sleeve        | Jambeau            |
Hoplite Leggings   |Chain Sleeve       | Poleyn             |
Hoplite Leggings   |Gauntlet           | Fusskampf          |
Hoplite Leggings   |Vambrace           | Fusskampf          |
Hoplite Leggings   |Plate Glove        | Poleyn             |
Hoplite Leggings   |Rondanche          | Jambeau            |
Hoplite Leggings   |Tilt Glove         | Missaglia          |
Hoplite Leggings   |Freiturnier        | Plate Leggings     |
Hoplite Leggings   |Fluted Glove       | Fluted Leggings    |
Hoplite Leggings   |Hoplite Glove      | Hoplite Helm       |
Hoplite Leggings   |Jazeraint Glove    | Hoplite Glove      |
Hoplite Leggings   |Dread Glove        | Hoplite Glove      |
Jazeraint Leggings |Bandage            | Plate Leggings     |
Jazeraint Leggings |Leather Glove      | Plate Leggings     |
Jazeraint Leggings |Reinforced Glove   | Plate Leggings     |
Jazeraint Leggings |Knuckles           | Plate Leggings     |
Jazeraint Leggings |Ring Sleeve        | Missaglia          |
Jazeraint Leggings |Chain Sleeve       | Jambeau            |
Jazeraint Leggings |Gauntlet           | Poleyn             |
Jazeraint Leggings |Vambrace           | Fusskampf          |
Jazeraint Leggings |Plate Glove        | Poleyn             |
Jazeraint Leggings |Rondanche          | Jambeau            |
Jazeraint Leggings |Tilt Glove         | Missaglia          |
Jazeraint Leggings |Freiturnier        | Plate Leggings     |
Jazeraint Leggings |Fluted Glove       | Fluted Leggings    |
Jazeraint Leggings |Hoplite Glove      | Hoplite Leggings   |
Jazeraint Leggings |Jazeraint Glove    | Jazeraint Helm     |
Jazeraint Leggings |Dread Glove        | Jazeraint Glove    |
Dread Leggings     |Bandage            | Fluted Leggings    |
Dread Leggings     |Leather Glove      | Fluted Leggings    |
Dread Leggings     |Reinforced Glove   | Fluted Leggings    |
Dread Leggings     |Knuckles           | Fluted Leggings    |
Dread Leggings     |Ring Sleeve        | Plate Leggings     |
Dread Leggings     |Chain Sleeve       | Missaglia          |
Dread Leggings     |Gauntlet           | Jambeau            |
Dread Leggings     |Vambrace           | Poleyn             |
Dread Leggings     |Plate Glove        | Poleyn             |
Dread Leggings     |Rondanche          | Jambeau            |
Dread Leggings     |Tilt Glove         | Missaglia          |
Dread Leggings     |Freiturnier        | Plate Leggings     |
Dread Leggings     |Fluted Glove       | Fluted Leggings    |
Dread Leggings     |Hoplite Glove      | Hoplite Leggings   |
Dread Leggings     |Jazeraint Glove    | Jazeraint Leggings |
Dread Leggings     |Dread Glove        | Dread Helm         |

--Arm + Arm
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Bandage            |Bandage            | Bandage            |
Bandage            |Leather Glove      | Leather Glove      |
Bandage            |Reinforced Glove   | Reinforced Glove   |
Bandage            |Knuckles           | Knuckles           |
Bandage            |Ring Sleeve        | Knuckles           |
Bandage            |Chain Sleeve       | Knuckles           |
Bandage            |Gauntlet           | Chain Sleeve       |
Bandage            |Vambrace           | Ring Sleeve        |
Bandage            |Plate Glove        | Chain Sleeve       |
Bandage            |Rondanche          | Gauntlet           |
Bandage            |Tilt Glove         | Vambrace           |
Bandage            |Freiturnier        | Plate Glove        |
Bandage            |Fluted Glove       | Rondanche          |
Bandage            |Hoplite Glove      | Tilt Glove         |
Bandage            |Jazeraint Glove    | Freiturnier        |
Bandage            |Dread Glove        | Fluted Glove       |
Leather Glove      |Leather Glove      | Leather Glove      |
Leather Glove      |Reinforced Glove   | Reinforced Glove   |
Leather Glove      |Knuckles           | Knuckles           |
Leather Glove      |Ring Sleeve        |+Chain Sleeve       |
Leather Glove      |Chain Sleeve       | Ring Sleeve        |
Leather Glove      |Gauntlet           | Knuckles           |
Leather Glove      |Vambrace           | Chain Sleeve       |
Leather Glove      |Plate Glove        | Ring Sleeve        |
Leather Glove      |Rondanche          | Chain Sleeve       |
Leather Glove      |Tilt Glove         | Gauntlet           |
Leather Glove      |Freiturnier        | Vambrace           |
Leather Glove      |Fluted Glove       | Plate Glove        |
Leather Glove      |Hoplite Glove      | Rondanche          |
Leather Glove      |Jazeraint Glove    | Tilt Glove         |
Leather Glove      |Dread Glove        | Freiturnier        |
Reinforced Glove   |Reinforced Glove   | Reinforced Glove   |
Reinforced Glove   |Knuckles           |+Ring Sleeve        |
Reinforced Glove   |Ring Sleeve        | Knuckles           |
Reinforced Glove   |Chain Sleeve       |+Gauntlet           |
Reinforced Glove   |Gauntlet           | Chain Sleeve       |
Reinforced Glove   |Vambrace           | Vambrace           |
Reinforced Glove   |Plate Glove        | Vambrace           |
Reinforced Glove   |Rondanche          | Ring Sleeve        |
Reinforced Glove   |Tilt Glove         | Chain Sleeve       |
Reinforced Glove   |Freiturnier        | Gauntlet           |
Reinforced Glove   |Fluted Glove       | Vambrace           |
Reinforced Glove   |Hoplite Glove      | Plate Glove        |
Reinforced Glove   |Jazeraint Glove    | Rondanche          |
Reinforced Glove   |Dread Glove        | Tilt Glove         |
Knuckles           |Knuckles           | Knuckles           |
Knuckles           |Ring Sleeve        |+Chain Sleeve       |
Knuckles           |Chain Sleeve       | Chain Sleeve       |
Knuckles           |Gauntlet           | Knuckles           |
Knuckles           |Vambrace           | Gauntlet           |
Knuckles           |Plate Glove        | Plate Glove        |
Knuckles           |Rondanche          | Rondanche          |
Knuckles           |Tilt Glove         | Ring Sleeve        |
Knuckles           |Freiturnier        | Chain Sleeve       |
Knuckles           |Fluted Glove       | Gauntlet           |
Knuckles           |Hoplite Glove      | Vambrace           |
Knuckles           |Jazeraint Glove    | Plate Glove        |
Knuckles           |Dread Glove        | Rondanche          |
Ring Sleeve        |Ring Sleeve        | Ring Sleeve        |
Ring Sleeve        |Chain Sleeve       |+Gauntlet           |
Ring Sleeve        |Gauntlet           |+Vambrace           |
Ring Sleeve        |Vambrace           | Vambrace           |
Ring Sleeve        |Plate Glove        | Ring Sleeve        |
Ring Sleeve        |Rondanche          | Gauntlet           |
Ring Sleeve        |Tilt Glove         | Plate Glove        |
Ring Sleeve        |Freiturnier        | Ring Sleeve        |
Ring Sleeve        |Fluted Glove       | Chain Sleeve       |
Ring Sleeve        |Hoplite Glove      | Gauntlet           |
Ring Sleeve        |Jazeraint Glove    | Vambrace           |
Ring Sleeve        |Dread Glove        | Plate Glove        |
Chain Sleeve       |Chain Sleeve       | Chain Sleeve       |
Chain Sleeve       |Gauntlet           | Gauntlet           |
Chain Sleeve       |Vambrace           |-Knuckles           |
Chain Sleeve       |Plate Glove        |+Rondanche          |
Chain Sleeve       |Rondanche          | Rondanche          |
Chain Sleeve       |Tilt Glove         | Vambrace           |
Chain Sleeve       |Freiturnier        | Rondanche          |
Chain Sleeve       |Fluted Glove       |-Ring Sleeve        |
Chain Sleeve       |Hoplite Glove      | Chain Sleeve       |
Chain Sleeve       |Jazeraint Glove    | Gauntlet           |
Chain Sleeve       |Dread Glove        | Vambrace           |
Gauntlet           |Gauntlet           | Gauntlet           |
Gauntlet           |Vambrace           |+Plate Glove        |
Gauntlet           |Plate Glove        | Plate Glove        |
Gauntlet           |Rondanche          |-Knuckles           |
Gauntlet           |Tilt Glove         | Tilt Glove         |
Gauntlet           |Freiturnier        |-Chain Sleeve       |
Gauntlet           |Fluted Glove       | Freiturnier        |
Gauntlet           |Hoplite Glove      |-Ring Sleeve        |
Gauntlet           |Jazeraint Glove    |-Chain Sleeve       |
Gauntlet           |Dread Glove        | Gauntlet           |
Vambrace           |Vambrace           |+Plate Glove        |
Vambrace           |Plate Glove        |+Rondanche          |
Vambrace           |Rondanche          | Plate Glove        |
Vambrace           |Tilt Glove         |-Gauntlet           |
Vambrace           |Freiturnier        | Freiturnier        |
Vambrace           |Fluted Glove       | Tilt Glove         |
Vambrace           |Hoplite Glove      |-Knuckles           |
Vambrace           |Jazeraint Glove    |-Ring Sleeve        |
Vambrace           |Dread Glove        |-Chain Sleeve       |
Plate Glove        |Plate Glove        | Plate Glove        |
Plate Glove        |Rondanche          |+Tilt Glove         |
Plate Glove        |Tilt Glove         | Tilt Glove         |
Plate Glove        |Freiturnier        | Plate Glove        |
Plate Glove        |Fluted Glove       | Freiturnier        |
Plate Glove        |Hoplite Glove      | Fluted Glove       |
Plate Glove        |Jazeraint Glove    |-Vambrace           |
Plate Glove        |Dread Glove        |-Ring Sleeve        |
Rondanche          |Rondanche          | Rondanche          |
Rondanche          |Tilt Glove         | Rondanche          |
Rondanche          |Freiturnier        |+Fluted Glove       |
Rondanche          |Fluted Glove       |-Knuckles           |
Rondanche          |Hoplite Glove      | Freiturnier        |
Rondanche          |Jazeraint Glove    | Rondanche          |
Rondanche          |Dread Glove        | Freiturnier        |
Tilt Glove         |Tilt Glove         |+Freiturnier        |
Tilt Glove         |Freiturnier        | Tilt Glove         |
Tilt Glove         |Fluted Glove       | Fluted Glove       |
Tilt Glove         |Hoplite Glove      |-Plate Glove        |
Tilt Glove         |Jazeraint Glove    | Fluted Glove       |
Tilt Glove         |Dread Glove        |-Gauntlet           |
Freiturnier        |Freiturnier        | Freiturnier        |
Freiturnier        |Fluted Glove       |+Hoplite Glove      |
Freiturnier        |Hoplite Glove      | Fluted Glove       |
Freiturnier        |Jazeraint Glove    |-Rondanche          |
Freiturnier        |Dread Glove        |-Tilt Glove         |
Fluted Glove       |Fluted Glove       | Fluted Glove       |
Fluted Glove       |Hoplite Glove      |-Tilt Glove         |
Fluted Glove       |Jazeraint Glove    |-Freiturnier        |
Fluted Glove       |Dread Glove        | Fluted Glove       |
Hoplite Glove      |Hoplite Glove      |+Jazeraint Glove    |
Hoplite Glove      |Jazeraint Glove    |-Knuckles           |
Hoplite Glove      |Dread Glove        |-Fluted Glove       |
Jazeraint Glove    |Jazeraint Glove    |+Dread Glove        |
Jazeraint Glove    |Dread Glove        |-Rondanche          |
Dread Glove        |Dread Glove        | Dread Glove        |

--Shield + Shield
# First Slot    |Second Slot     |Result           |(if different)   
# ============== ================  ================= =================
Buckler         |Buckler         | Buckler         |
Buckler         |Pelta           | Buckler         |
Buckler         |Targe           | Pelta           |
Buckler         |Quad            | Buckler         |
Buckler         |Circle          | Targe           |
Buckler         |Tower           | Buckler         |
Buckler         |Spiked          | Quad            |
Buckler         |Round           | Buckler         |
Buckler         |Kite            | Pelta           |
Buckler         |Casserole       | Targe           |
Buckler         |Heater          | Quad            |
Buckler         |Oval            | Circle          |
Buckler         |Knight          | Tower           |
Buckler         |Hoplite         | Spiked          |
Buckler         |Jazeraint       | Round           |
Buckler         |Dread           | Kite            |
Pelta           |Pelta           | Pelta           |
Pelta           |Targe           |+Quad            |
Pelta           |Quad            | Targe           |
Pelta           |Circle          |-Buckler         |
Pelta           |Tower           | Pelta           |
Pelta           |Spiked          |-Buckler         |
Pelta           |Round           | Pelta           |
Pelta           |Kite            |-Buckler         |
Pelta           |Casserole       | Pelta           |
Pelta           |Heater          | Targe           |
Pelta           |Oval            | Quad            |
Pelta           |Knight          | Circle          |
Pelta           |Hoplite         | Tower           |
Pelta           |Jazeraint       | Spiked          |
Pelta           |Dread           | Round           |
Targe           |Targe           | Targe           |
Targe           |Quad            |+Circle          |
Targe           |Circle          |-Pelta           |
Targe           |Tower           |-Buckler         |
Targe           |Spiked          | Spiked          |
Targe           |Round           |-Buckler         |
Targe           |Kite            | Targe           |-Buckler
Targe           |Casserole       | Spiked          |
Targe           |Heater          |-Pelta           |
Targe           |Oval            | Targe           |
Targe           |Knight          | Quad            |
Targe           |Hoplite         | Circle          |
Targe           |Jazeraint       | Tower           |
Targe           |Dread           | Spiked          |
Quad            |Quad            | Quad            |
Quad            |Circle          |+Tower           |
Quad            |Tower           |+Spiked          |
Quad            |Spiked          |-Targe           |
Quad            |Round           | Round           |
Quad            |Kite            |-Buckler         |
Quad            |Casserole       |-Buckler         |-Targe
Quad            |Heater          |-Buckler         |
Quad            |Oval            |-Pelta           |
Quad            |Knight          |-Targe           |
Quad            |Hoplite         | Quad            |
Quad            |Jazeraint       | Circle          |
Quad            |Dread           | Tower           |
Circle          |Circle          | Circle          |
Circle          |Tower           |+Spiked          |
Circle          |Spiked          |+Round           |
Circle          |Round           |-Buckler         |
Circle          |Kite            | Spiked          |
Circle          |Casserole       | Kite            |
Circle          |Heater          |-Quad            |
Circle          |Oval            |-Buckler         |
Circle          |Knight          |-Pelta           |
Circle          |Hoplite         |-Targe           |
Circle          |Jazeraint       |-Quad            |
Circle          |Dread           | Circle          |
Tower           |Tower           | Tower           |
Tower           |Spiked          |+Round           |
Tower           |Round           |+Kite            |
Tower           |Kite            |-Buckler         |
Tower           |Casserole       |-Targe           |
Tower           |Heater          | Kite            |
Tower           |Oval            |-Targe           |
Tower           |Knight          |-Buckler         |
Tower           |Hoplite         |-Pelta           |
Tower           |Jazeraint       |-Targe           |
Tower           |Dread           |-Quad            |
Spiked          |Spiked          | Spiked          |
Spiked          |Round           |+Kite            |
Spiked          |Kite            |+Casserole       |
Spiked          |Casserole       |-Buckler         |
Spiked          |Heater          | Round           |
Spiked          |Oval            | Kite            |
Spiked          |Knight          | Casserole       |
Spiked          |Hoplite         |-Buckler         |
Spiked          |Jazeraint       |-Pelta           |
Spiked          |Dread           |-Targe           |
Round           |Round           | Round           |
Round           |Kite            |+Casserole       |
Round           |Casserole       |+Heater          |
Round           |Heater          |-Buckler         |
Round           |Oval            | Casserole       |
Round           |Knight          |-Circle          |
Round           |Hoplite         |-Quad            |
Round           |Jazeraint       |-Buckler         |
Round           |Dread           |-Pelta           |
Kite            |Kite            | Kite            |
Kite            |Casserole       |+Heater          |
Kite            |Heater          |-Buckler         |
Kite            |Oval            |-Targe           |
Kite            |Knight          |-Buckler         |
Kite            |Hoplite         | Casserole       |
Kite            |Jazeraint       |-Buckler         |
Kite            |Dread           |-Buckler         |
Casserole       |Casserole       | Casserole       |
Casserole       |Heater          |+Oval            |
Casserole       |Oval            |-Spiked          |
Casserole       |Knight          |-Round           |-Buckler
Casserole       |Hoplite         |-Buckler         |-Round
Casserole       |Jazeraint       |-Buckler         |
Casserole       |Dread           |-Targe           |
Heater          |Heater          | Heater          |
Heater          |Oval            |+Knight          |
Heater          |Knight          |-Targe           |
Heater          |Hoplite         |-Circle          |
Heater          |Jazeraint       |-Kite            |
Heater          |Dread           |-Buckler         |
Oval            |Oval            | Oval            |
Oval            |Knight          |+Hoplite         |
Oval            |Hoplite         |-Quad            |
Oval            |Jazeraint       |-Buckler         |
Oval            |Dread           |-Spiked          |
Knight          |Knight          | Knight          |
Knight          |Hoplite         |-Buckler         |
Knight          |Jazeraint       |-Quad            |
Knight          |Dread           |-Buckler         |
Hoplite         |Hoplite         |+Jazeraint       |
Hoplite         |Jazeraint       |-Buckler         |
Hoplite         |Dread           |-Circle          |
Jazeraint       |Jazeraint       |+Dread           |
Jazeraint       |Dread           |-Buckler         |
Dread           |Dread           | Dread           |
